channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UC--A2dwZW7-M2kID0N6_lfA,2021-03,32116,7874,1112,141,87.32014388489209
UC-hM6YJuNYVAmUWxeIr9FeA,2021-03,1569241,378133,60399,4959,91.78959916554909
UC-o-E6I3IC2q8sAoAuM6Umg,2021-03,220362,25920,13101,307,97.65666742996719
UC01gb86Qdlkh23Nqk3A1OLQ,2021-03,30686,12753,1082,130,87.98521256931609
UC0Owc36U9lOyi9Gx9Ic-4qg,2021-03,446411,178018,7413,710,90.42223121543235
UC0QzO6nK1cEDZvJSt2769Zw,2021-03,1443,0,58,0,100.0
UC0TXe_LYZ4scaW2XMyi5_kw,2021-03,425975,64576,22375,1048,95.31620111731843
UC0WwEfE-jOM2rzjpdfhTzZA,2021-03,26682,816,948,32,96.62447257383965
UC0e6zo8oX6ISSBjPaSZsjeA,2021-03,2319,0,546,0,100.0
UC0g1AE0DOjBYnLhkgoRWN1w,2021-03,330759,83448,22275,869,96.09876543209876
UC0lik9pHju6ONgkBh7N5wHw,2021-03,1880,0,119,0,100.0
UC1519-d1jzGiL1MPTxEdtSA,2021-03,56182,31458,1720,518,69.88372093023256
UC1CfXB_kRs3C-zaeTG3oGyg,2021-03,226373,58075,36891,2858,92.25285299937654
UC1DCedRgGHBdm81E1llLhOQ,2021-03,2975810,1056052,83524,9244,88.93252238877449
UC1QgXt46-GEvtNjEC1paHnw,2021-03,34062,542,3562,47,98.68051656372823
UC1ZV7KBscK0EMoJKFu1DnDg,2021-03,154586,35752,8685,548,93.69027058146229
UC1opHUrw8rvnsadT-iGp7Cg,2021-03,1602978,639090,69970,5793,91.72073745891096
UC1qGKZnAnIc1wgRDOT2IOtg,2021-03,10756,0,135,0,100.0
UC1suqwovbL1kzsoaZgFZLKg,2021-03,168057,20712,18249,546,97.00805523590333
UC1uv2Oq6kNxgATlCiez59hw,2021-03,386731,101917,22510,1941,91.3771657041315
UC1yoRdFoFJaCY-AGfD9W0wQ,2021-03,3383,0,679,0,100.0
UC1zFJrfEKvCixhsjNSb1toQ,2021-03,124739,19260,8837,663,92.49745388706575
UC22BVlBsZc6ta3Dqz75NU6Q,2021-03,74010,6136,7947,286,96.40115766956085
UC2OacIzd2UxGHRGhdHl1Rhw,2021-03,75932,8210,5834,123,97.89166952348303
UC2hc-00y-MSR6eYA4eQ4tjQ,2021-03,113303,29761,2693,204,92.42480505012996
UC2kyQhzGOB-JPgcQX9OMgEw,2021-03,198280,70086,2673,423,84.17508417508418
UC3-jXrZXv-PQshpaTQpicPQ,2021-03,10860,2098,913,58,93.6473165388828
