channelId,period,superChats,uniqueSuperChatters,totalSC,averageSC
UCFKOVgVbGmX65RxO3EtH3iw,2021-03,5552,1043,3482098,627
UCV5ZZlLjk5MKGg3L0n0vbzw,2021-03,220,121,199004,904
UCvaTdHTWBGv3MKj3KVqJVCw,2021-03,2653,796,1576726,594
UCNVEsYbiZjH5QLmGeSgTSzg,2021-03,166,124,205611,1238
UCl_gCybOJRIgOXw6Qb4qJzQ,2021-03,3468,835,3773715,1088
UCbc8fwhdUNlqi-J99ISYu4A,2021-03,25,22,41713,1668
UCD8HOxPs4Xvsm8H0ZxXGiBw,2021-03,112,55,82602,737
UC2kyQhzGOB-JPgcQX9OMgEw,2021-03,200,96,233819,1169
UCspv01oxUFf_MTSipURRhkA,2021-03,1205,493,2022241,1678
UCBQd84IW8OvM8H5jftHdvmw,2021-03,139,46,89324,642
UCfQVs_KuXeNAlGa3fb8rlnQ,2021-03,139,45,87452,629
UC6t3-_N8A6ME1JShZHHqOMw,2021-03,57,43,65585,1150
UCtpB6Bvhs1Um93ziEDACQ8g,2021-03,25,21,20723,828
UCGNI4MENvnsymYjKiZwv9eg,2021-03,71,45,125114,1762
UCIytNcoz4pWzXfLda0DoULQ,2021-03,186,105,228023,1225
UCoSrY_IQQVpmIRZ9Xf-y93g,2021-03,1784,1088,2413697,1352
UCANDOlYTJT7N5jlRC3zfzVA,2021-03,285,141,333485,1170
UCdyqAaZDKHXg4Ahi7VENThQ,2021-03,1402,678,1469337,1048
UCeK9HFcRZoTrvqcUCtccMoQ,2021-03,123,66,93734,762
UC8CKGSvp9bRfmtWyfV5L9Jw,2021-03,56,29,107776,1924
UCDqI2jOz0weumE8s7paEk6g,2021-03,581,324,854084,1470
UCKeAhJvy8zgXWbh9duVjIaQ,2021-03,447,220,415044,928
UCn1coImC6NMDYCQfH_ILzXw,2021-03,304,132,227453,748
UChLfthKoUV502J7gU9STArg,2021-03,512,398,553244,1080
UC_FqH-6GpFosu_P0ApjqW5A,2021-03,42,25,71986,1713
UCdYR5Oyz8Q4g0ZmB4PkTD7g,2021-03,234,135,153498,655
UCg63a3lk6PNeWhVvMRM_mrQ,2021-03,100,45,137164,1371
UC01gb86Qdlkh23Nqk3A1OLQ,2021-03,62,42,43675,704
UCa9Y57gfeY0Zro_noHRVrnw,2021-03,1071,494,1512958,1412
UCyl1z3jo3XHR1riLFKG5UAg,2021-03,1565,523,1665026,1063
UCghSSXNbZRmPAv3UaS8g21A,2021-03,2,2,1671,835
UCS9uQI-jC3DE0L4IpXyvr6w,2021-03,12089,2067,9680391,800
UCL34fAoFim9oHLbVzMKFavQ,2021-03,249,100,227751,914
UCe_p3YEuYJb8Np0Ip9dk-FQ,2021-03,135,78,124406,921
UCkIimWZ9gBJRamKF0rmPU8w,2021-03,173,69,143108,827
UCTEZGNJDqv-isWSPRsEhnRA,2021-03,33,14,11820,358
UCUc8GZfFxtmk7ZwSO7ccQ0g,2021-03,532,408,808497,1519
UCQ0UDLQCjY0rmuxCDE38FGg,2021-03,907,430,1117218,1231
UCYz_5n-uDuChHtLo7My1HnQ,2021-03,857,329,1875294,2188
UCWz0CSYCxf4MhRKPDm220AQ,2021-03,18,13,26440,1468
UCL_qhgtOy0dy1Agp8vkySQg,2021-03,3138,931,3330290,1061
UCJQMHCFjVZOVRYafR6gY04Q,2021-03,12,8,8202,683
UCo2N7C-Z91waaR6lF3LL_jw,2021-03,330,212,367871,1114
UChXm-xAYPfygrbyLo2yCASQ,2021-03,78,33,56184,720
UCLyTXfCZtl7dyhta9Jg3pZg,2021-03,842,202,491816,584
UCflNPJUJ4VQh1hGDNK7bsFg,2021-03,72,22,32869,456
